City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,0.45,59,97,1.76,GS,1684714996
1,dudinka,69.4058,86.1778,0.9,99,100,5.95,RU,1684714775
2,kourou,5.1552,-52.6478,25.03,93,100,4.08,GF,1684714776
3,atafu village,-8.5421,-172.5159,28.77,76,34,4.65,TK,1684714996
4,port alfred,-33.5906,26.891,14.81,69,23,4.27,ZA,1684714997
5,georgetown,5.4112,100.3354,27.96,83,40,0.0,MY,1684714397
6,port-aux-francais,-49.35,70.2167,6.53,90,95,13.01,TF,1684714997
7,naze,28.3667,129.4833,21.51,91,100,3.53,JP,1684714997
8,midleton,51.9153,-8.1805,14.88,93,98,1.32,IE,1684714997
9,kapuskasing,49.4169,-82.4331,9.05,37,20,3.09,CA,1684714998
10,ribeira grande,38.5167,-28.7,17.1,81,100,2.68,PT,1684714777
11,margaret river,-33.95,115.0667,15.36,66,85,4.41,AU,1684714731
12,hawaiian paradise park,19.5933,-154.9731,26.73,83,75,4.63,US,1684714777
13,antalaha,-14.9003,50.2788,22.22,93,19,1.53,MG,1684714998
14,albany,42.6001,-73.9662,19.36,65,15,2.24,US,1684714903
15,ta`u,-14.2336,-169.5144,28.09,76,86,4.94,AS,1684714999
16,waitangi,-43.9535,-176.5597,13.23,77,34,3.58,NZ,1684714999
17,invercargill,-46.4,168.35,10.61,76,94,2.85,NZ,1684714778
18,afaahiti,-17.75,-149.2833,28.93,75,5,2.05,PF,1684714999
19,san antonio de pale,-1.4014,5.6325,26.36,71,91,4.78,GQ,1684714999
20,pacific grove,36.6177,-121.9166,21.25,86,75,4.12,US,1684715000
21,constantia,44.1833,28.65,14.38,82,80,5.27,RO,1684714716
22,lerwick,60.1545,-1.1494,6.0,81,45,2.72,GB,1684714779
23,boyolangu,-8.1181,111.8935,23.93,86,100,1.11,ID,1684715000
24,puerto natales,-51.7236,-72.4875,0.61,85,24,2.86,CL,1684715001
25,adamstown,-25.066,-130.1015,24.34,82,66,7.25,PN,1684715001
26,fale old settlement,-9.3852,-171.2468,28.67,77,86,4.41,TK,1684715001
27,timmins,48.4669,-81.3331,7.08,53,12,2.3,CA,1684714780
28,tiksi,71.6872,128.8694,-8.94,84,29,1.99,RU,1684715001
29,port lincoln,-34.7333,135.8667,15.79,52,100,1.28,AU,1684714780
30,bredasdorp,-34.5322,20.0403,10.52,70,100,1.26,ZA,1684715002
31,ushuaia,-54.8,-68.3,1.81,69,40,3.6,AR,1684714847
32,myrina,39.8797,25.0742,15.58,88,40,1.54,GR,1684715002
33,al ghayzah,16.2079,52.176,28.9,69,19,4.01,YE,1684715002
34,susuman,62.7833,148.1667,3.16,63,77,4.15,RU,1684715002
35,port mathurin,-19.6833,63.4167,24.67,73,9,1.31,MU,1684715003
36,iqaluit,63.7506,-68.5145,-7.15,67,75,8.05,CA,1684714782
37,callao,-12.0667,-77.15,22.62,73,75,5.14,PE,1684715003
38,yellowknife,62.456,-114.3525,19.29,26,75,8.23,CA,1684715003
